,Unnamed: 0,Project,Commit,File,Method,CommentType,#Parameters,NLOC,Complexity,NLOC_slope,Params_slope,Complexity_slope,pmd_warnings_numbers,checkstyle_warnings_numbers,org_silo,missing_links,radio_silence,st_congruence,num_tz,code_only_devs,code_files,ml_only_devs,ml_threads,code_ml_both_devs
17,215,maven,1d473233f21b63f351ded6904f4f9f98db3faaf1,maven-core/src/test/java/org/apache/maven/project/DefaultMavenProjectBuilderTest.java,DefaultMavenProjectBuilderTest::testBuildParentVersionRangeLocallyWithChildRevisionExpression(),Not SATD,0.0,8.0,1.0,,,,,,4.0,4.0,10.0,0.2,2.0,9.0,106.0,62.0,360.0,5.0
18,216,maven,1d473233f21b63f351ded6904f4f9f98db3faaf1,maven-core/src/test/java/org/apache/maven/project/DefaultMavenProjectBuilderTest.java,DefaultMavenProjectBuilderTest::testBuildParentVersionRangeExternallyWithChildRevisionExpression(),Not SATD,0.0,8.0,1.0,,,,,,4.0,4.0,10.0,0.2,2.0,9.0,106.0,62.0,360.0,5.0
19,217,maven,1d473233f21b63f351ded6904f4f9f98db3faaf1,maven-core/src/test/java/org/apache/maven/project/DefaultMavenProjectBuilderTest.java,DefaultMavenProjectBuilderTest::testBuildParentVersionRangeLocallyWithChildProjectParentVersionExpression(),Not SATD,0.0,16.0,2.0,,,,,,4.0,4.0,10.0,0.2,2.0,9.0,106.0,62.0,360.0,5.0
20,218,maven,1d473233f21b63f351ded6904f4f9f98db3faaf1,maven-core/src/test/java/org/apache/maven/project/DefaultMavenProjectBuilderTest.java,DefaultMavenProjectBuilderTest::testBuildParentVersionRangeExternallyWithChildPomVersionExpression(),Not SATD,0.0,16.0,2.0,,,,,,4.0,4.0,10.0,0.2,2.0,9.0,106.0,62.0,360.0,5.0
21,219,maven,1d473233f21b63f351ded6904f4f9f98db3faaf1,maven-core/src/test/java/org/apache/maven/project/DefaultMavenProjectBuilderTest.java,DefaultMavenProjectBuilderTest::testBuildParentVersionRangeLocallyWithChildProjectVersionExpression(),Not SATD,0.0,11.0,1.0,,,,,,4.0,4.0,10.0,0.2,2.0,9.0,106.0,62.0,360.0,5.0
22,220,maven,1d473233f21b63f351ded6904f4f9f98db3faaf1,maven-core/src/test/java/org/apache/maven/project/DefaultMavenProjectBuilderTest.java,DefaultMavenProjectBuilderTest::testBuildParentVersionRangeExternallyWithChildPomParentVersionExpression(),Not SATD,0.0,16.0,2.0,,,,,,4.0,4.0,10.0,0.2,2.0,9.0,106.0,62.0,360.0,5.0
23,221,maven,1d473233f21b63f351ded6904f4f9f98db3faaf1,maven-core/src/test/java/org/apache/maven/project/DefaultMavenProjectBuilderTest.java,DefaultMavenProjectBuilderTest::testBuildParentVersionRangeExternallyWithChildProjectVersionExpression(),Not SATD,0.0,11.0,1.0,,,,,,4.0,4.0,10.0,0.2,2.0,9.0,106.0,62.0,360.0,5.0
24,222,maven,6b607109d3ce045106924139e96705fe7c42172e,maven-resolver-provider/src/main/java/org/apache/maven/repository/internal/RelocatedArtifact.java,"RelocatedArtifact::RelocatedArtifact( Artifact artifact , String groupId , String artifactId , String version , String message)",SATD,5.0,8.0,9.0,,,,,,4.0,4.0,10.0,0.2,2.0,9.0,106.0,62.0,360.0,5.0
25,223,maven,faf5d5d274fb4a3348cc330b604d530d0ebb60ce,maven-core/src/main/java/org/apache/maven/session/scope/internal/SessionScope.java,"SessionScope::scope( final Key<T> key , final Provider<T> unscoped)",Not SATD,2.0,4.0,1.0,,,,,,4.0,4.0,10.0,0.2,2.0,9.0,106.0,62.0,360.0,5.0
26,224,maven,faf5d5d274fb4a3348cc330b604d530d0ebb60ce,maven-core/src/main/java/org/apache/maven/session/scope/internal/SessionScope.java,"SessionScope::ScopeState::seed( Class<T> clazz , Provider<T> value)",Not SATD,2.0,4.0,1.0,,,,,,4.0,4.0,10.0,0.2,2.0,9.0,106.0,62.0,360.0,5.0
27,225,maven,4476026c525a22900c6c5e4f0de6f7362cb201f2,maven-embedder/src/main/java/org/apache/maven/cli/MavenCli.java,"MavenCli::setCliProperty( String name , String value , Properties properties)",SATD,3.0,5.0,1.0,,,,,,4.0,4.0,10.0,0.2,2.0,9.0,106.0,62.0,360.0,5.0
28,226,maven,4476026c525a22900c6c5e4f0de6f7362cb201f2,maven-embedder/src/test/java/org/apache/maven/cli/MavenCliTest.java,MavenCliTest::populatePropertiesCanContainEqualsSign(),Not SATD,0.0,7.0,1.0,,,,,,4.0,4.0,10.0,0.2,2.0,9.0,106.0,62.0,360.0,5.0
29,227,maven,4476026c525a22900c6c5e4f0de6f7362cb201f2,maven-embedder/src/test/java/org/apache/maven/cli/MavenCliTest.java,MavenCliTest::populatePropertiesMultiple(),Not SATD,0.0,8.0,1.0,,,,,,4.0,4.0,10.0,0.2,2.0,9.0,106.0,62.0,360.0,5.0
30,228,maven,4476026c525a22900c6c5e4f0de6f7362cb201f2,maven-embedder/src/test/java/org/apache/maven/cli/MavenCliTest.java,MavenCliTest::populatePropertiesOverwrite(),Not SATD,0.0,7.0,1.0,,,,,,4.0,4.0,10.0,0.2,2.0,9.0,106.0,62.0,360.0,5.0
31,229,maven,4476026c525a22900c6c5e4f0de6f7362cb201f2,maven-embedder/src/test/java/org/apache/maven/cli/MavenCliTest.java,MavenCliTest::populatePropertiesShorthand(),Not SATD,0.0,7.0,1.0,,,,,,4.0,4.0,10.0,0.2,2.0,9.0,106.0,62.0,360.0,5.0
32,230,maven,4476026c525a22900c6c5e4f0de6f7362cb201f2,maven-embedder/src/test/java/org/apache/maven/cli/MavenCliTest.java,MavenCliTest::populatePropertiesSpace(),Not SATD,0.0,7.0,1.0,,,,,,4.0,4.0,10.0,0.2,2.0,9.0,106.0,62.0,360.0,5.0
33,232,maven,46d57bdb3f54feb45d0ab22a255b9bcc6b704a27,maven-resolver-provider/src/main/java/org/apache/maven/repository/internal/RelocatedArtifact.java,RelocatedArtifact::setVersion( String version),Not SATD,1.0,9.0,4.0,,,,,,4.0,4.0,10.0,0.2,2.0,9.0,106.0,62.0,360.0,5.0
34,233,maven,33aedfc28bfa38b10cb57302b404d8597d3971db,maven-core/src/main/java/org/apache/maven/lifecycle/internal/MojoExecutor.java,MojoExecutor::ProjectLock::getProjectLock( MavenSession session),SATD,1.0,11.0,2.0,,,,,,4.0,4.0,10.0,0.2,2.0,9.0,106.0,62.0,360.0,5.0
35,234,maven,33aedfc28bfa38b10cb57302b404d8597d3971db,maven-core/src/main/java/org/apache/maven/lifecycle/internal/MojoExecutor.java,MojoExecutor::ProjectLock::close(),Not SATD,0.0,11.0,3.0,,,,,,4.0,4.0,10.0,0.2,2.0,9.0,106.0,62.0,360.0,5.0
36,235,maven,ae8aebea191007262283528c7fca20f77029bbe5,maven-model-builder/src/main/java/org/apache/maven/model/building/DefaultBuildPomXMLFilterFactory.java,"DefaultBuildPomXMLFilterFactory::DefaultBuildPomXMLFilterFactory( TransformerContext context , boolean consume)",Not SATD,2.0,6.0,1.0,,,,,,4.0,4.0,10.0,0.2,2.0,9.0,106.0,62.0,360.0,5.0
37,236,maven,ae8aebea191007262283528c7fca20f77029bbe5,maven-model-transform/src/main/java/org/apache/maven/model/transform/BuildToRawPomXMLFilterFactory.java,"BuildToRawPomXMLFilterFactory::get( XmlPullParser orgParser , Path projectFile)",Not SATD,2.0,18.0,3.0,,,,,,4.0,4.0,10.0,0.2,2.0,9.0,106.0,62.0,360.0,5.0
38,237,maven,ae8aebea191007262283528c7fca20f77029bbe5,maven-model-transform/src/main/java/org/apache/maven/model/transform/RawToConsumerPomXMLFilterFactory.java,"RawToConsumerPomXMLFilterFactory::get( XmlPullParser orgParser , Path projectPath)",SATD,2.0,9.0,1.0,,,,,,4.0,4.0,10.0,0.2,2.0,9.0,106.0,62.0,360.0,5.0
39,238,maven,ae8aebea191007262283528c7fca20f77029bbe5,maven-model-transform/src/main/java/org/apache/maven/model/transform/ReactorDependencyXMLFilter.java,ReactorDependencyXMLFilter::process( List<Event> buffer),Not SATD,1.0,65.0,13.0,,,,,,4.0,4.0,10.0,0.2,2.0,9.0,106.0,62.0,360.0,5.0
40,239,maven,ae8aebea191007262283528c7fca20f77029bbe5,maven-model-transform/src/main/java/org/apache/maven/model/transform/pull/BufferingParser.java,BufferingParser::getNamespace( String prefix),SATD,1.0,4.0,1.0,,,,,,4.0,4.0,10.0,0.2,2.0,9.0,106.0,62.0,360.0,5.0
41,240,maven,ae8aebea191007262283528c7fca20f77029bbe5,maven-model-transform/src/main/java/org/apache/maven/model/transform/pull/BufferingParser.java,BufferingParser::getDepth(),SATD,0.0,4.0,1.0,,,,,,4.0,4.0,10.0,0.2,2.0,9.0,106.0,62.0,360.0,5.0
42,241,maven,ae8aebea191007262283528c7fca20f77029bbe5,maven-model-transform/src/main/java/org/apache/maven/model/transform/pull/BufferingParser.java,BufferingParser::nextTag(),Not SATD,0.0,14.0,5.0,,,,,,4.0,4.0,10.0,0.2,2.0,9.0,106.0,62.0,360.0,5.0
43,242,maven,ae8aebea191007262283528c7fca20f77029bbe5,maven-model-transform/src/main/java/org/apache/maven/model/transform/pull/BufferingParser.java,BufferingParser::getNamespaceCount( int depth),SATD,1.0,4.0,1.0,,,,,,4.0,4.0,10.0,0.2,2.0,9.0,106.0,62.0,360.0,5.0
44,243,maven,ae8aebea191007262283528c7fca20f77029bbe5,maven-model-transform/src/main/java/org/apache/maven/model/transform/pull/BufferingParser.java,BufferingParser::getNamespaceUri( int pos),SATD,1.0,4.0,1.0,,,,,,4.0,4.0,10.0,0.2,2.0,9.0,106.0,62.0,360.0,5.0
45,244,maven,ae8aebea191007262283528c7fca20f77029bbe5,maven-model-transform/src/main/java/org/apache/maven/model/transform/pull/BufferingParser.java,BufferingParser::getNamespacePrefix( int pos),SATD,1.0,4.0,1.0,,,,,,4.0,4.0,10.0,0.2,2.0,9.0,106.0,62.0,360.0,5.0
46,245,maven,8784812cf6af6c72597a8f3de45288ce7b1206a6,maven-core/src/main/java/org/apache/maven/project/MavenProject.java,MavenProject::getModulePathAdjustment( MavenProject moduleProject),SATD,1.0,40.0,9.0,0.0,0.0,0.0,,,21.0,21.0,15.0,0.125,5.0,12.0,199.0,59.0,269.0,5.0
47,246,maven,8784812cf6af6c72597a8f3de45288ce7b1206a6,maven-core/src/main/java/org/apache/maven/project/MavenProject.java,MavenProject::MavenProject(),Not SATD,0.0,8.0,1.0,0.0,0.0,0.0,,,21.0,21.0,15.0,0.125,5.0,12.0,199.0,59.0,269.0,5.0
48,247,maven,f46a9131d522f2358f5ba120261e7a5f7ee4a200,maven-artifact/src/main/java/org/apache/maven/artifact/ArtifactUtils.java,"ArtifactUtils::copyArtifacts( Collection<Artifact> from , T to)",Not SATD,2.0,8.0,2.0,0.0,0.0,0.0,,,21.0,21.0,15.0,0.125,5.0,12.0,199.0,59.0,269.0,5.0
49,248,maven,f46a9131d522f2358f5ba120261e7a5f7ee4a200,maven-artifact/src/main/java/org/apache/maven/artifact/resolver/MultipleArtifactsNotFoundException.java,"MultipleArtifactsNotFoundException::MultipleArtifactsNotFoundException( Artifact originatingArtifact , List<Artifact> missingArtifacts , List<ArtifactRepository> remoteRepositories)",Not SATD,3.0,6.0,1.0,,,,,,21.0,21.0,15.0,0.125,5.0,12.0,199.0,59.0,269.0,5.0
50,249,maven,f46a9131d522f2358f5ba120261e7a5f7ee4a200,maven-artifact/src/main/java/org/apache/maven/artifact/versioning/VersionRange.java,VersionRange::createFromVersionSpec( String spec),SATD,1.0,70.0,16.0,0.0,0.0,-0.096969696969697,,,21.0,21.0,15.0,0.125,5.0,12.0,199.0,59.0,269.0,5.0
51,250,maven,f46a9131d522f2358f5ba120261e7a5f7ee4a200,maven-core/src/main/java/org/apache/maven/AbstractMavenLifecycleParticipant.java,AbstractMavenLifecycleParticipant::afterProjectsRead( MavenSession session),Not SATD,1.0,4.0,1.0,0.0,0.0,0.0,,,21.0,21.0,15.0,0.125,5.0,12.0,199.0,59.0,269.0,5.0
52,251,maven,f46a9131d522f2358f5ba120261e7a5f7ee4a200,maven-core/src/main/java/org/apache/maven/AbstractMavenLifecycleParticipant.java,AbstractMavenLifecycleParticipant::afterSessionEnd( MavenSession session),Not SATD,1.0,4.0,1.0,,,,,,21.0,21.0,15.0,0.125,5.0,12.0,199.0,59.0,269.0,5.0
53,252,maven,f46a9131d522f2358f5ba120261e7a5f7ee4a200,maven-core/src/main/java/org/apache/maven/AbstractMavenLifecycleParticipant.java,AbstractMavenLifecycleParticipant::afterSessionStart( MavenSession session),Not SATD,1.0,4.0,1.0,0.0,0.0,0.0,,,21.0,21.0,15.0,0.125,5.0,12.0,199.0,59.0,269.0,5.0
54,256,maven,f46a9131d522f2358f5ba120261e7a5f7ee4a200,maven-core/src/main/java/org/apache/maven/artifact/resolver/ArtifactResolutionResult.java,ArtifactResolutionResult::addVersionRangeViolation( Exception e),SATD,1.0,8.0,1.0,0.0,0.0,0.0,,,21.0,21.0,15.0,0.125,5.0,12.0,199.0,59.0,269.0,5.0
55,257,maven,f46a9131d522f2358f5ba120261e7a5f7ee4a200,maven-core/src/main/java/org/apache/maven/artifact/resolver/ResolutionNode.java,ResolutionNode::isChildOfRootNode(),Not SATD,0.0,4.0,2.0,,,,,,21.0,21.0,15.0,0.125,5.0,12.0,199.0,59.0,269.0,5.0
56,258,maven,f46a9131d522f2358f5ba120261e7a5f7ee4a200,maven-core/src/main/java/org/apache/maven/artifact/resolver/ResolutionNode.java,ResolutionNode::getDependencyTrail(),Not SATD,0.0,11.0,2.0,,,,,,21.0,21.0,15.0,0.125,5.0,12.0,199.0,59.0,269.0,5.0
